"","X.3","X.2","X.1","X","dteday","season","yr","mnth","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casual","registered","cnt","cnt_mov_avg_7","cnt_lag_1","cnt_lag_2","cnt_lag_3","cnt_lag_4","cnt_lag_5","cnt_lag_6","cnt_lag_7","cnt_lag_8","cnt_tom","r_cnt_mov_avg_7","r_cnt_mov_avg_2","r_cnt_mov_avg_21","weekly_trend","AR"
"1",1,1,1,1,"2011-01-01",1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,NA,NA,NA,NA,NA
"2",2,2,2,2,"2011-01-02",1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,NA,985,NA,NA,NA,NA,NA,NA,NA,1349,NA,NA,NA,NA,NA
"3",3,3,3,3,"2011-01-03",1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,NA,801,985,NA,NA,NA,NA,NA,NA,1562,NA,893,NA,NA,NA
"4",4,4,4,4,"2011-01-04",1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,1344.71428571429,1349,801,985,NA,NA,NA,NA,NA,1600,NA,1075,NA,NA,NA
"5",5,5,5,5,"2011-01-05",1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,1341,1562,1349,801,985,NA,NA,NA,NA,1606,NA,1455.5,NA,NA,NA
"6",6,6,6,6,"2011-01-06",1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,1344,1600,1562,1349,801,985,NA,NA,NA,1510,NA,1581,NA,NA,NA
"7",7,7,7,7,"2011-01-07",1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,1340,1606,1600,1562,1349,801,985,NA,NA,959,NA,1603,NA,NA,NA
"8",8,8,8,8,"2011-01-08",1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,891,959,1297.28571428571,1510,1606,1600,1562,1349,801,985,NA,822,1344.71428571429,1558,NA,NA,NA
"9",9,9,9,9,"2011-01-09",1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,1234.71428571429,959,1510,1606,1600,1562,1349,801,985,1321,1341,1234.5,NA,0.0263959390862944,1124.48142116497
"10",10,10,10,10,"2011-01-10",1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,1206.14285714286,822,959,1510,1606,1600,1562,1349,801,1263,1344,890.5,NA,-0.0262172284644195,1344.61980802211
