"","season","yr","mnth","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casual","registered","cnt","cnt_mov_avg_7","cnt_lag_1","cnt_lag_2","cnt_lag_3","cnt_lag_4","cnt_lag_5","cnt_lag_6","cnt_lag_7","cnt_lag_8","cnt_tom","r_cnt_mov_avg_7","r_cnt_mov_avg_2","r_cnt_mov_avg_21","weekly_trend","AR"
"1","1",0,1,"0","6","0","2",0.344167,0.363625,0.805833,0.160446,331,654,985,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,NA,NA,NA,NA,NA
"2","1",0,1,"0","0","0","2",0.363478,0.353739,0.696087,0.248539,131,670,801,NA,985,NA,NA,NA,NA,NA,NA,NA,1349,NA,NA,NA,NA,NA
"3","1",0,1,"0","1","1","1",0.196364,0.189405,0.437273,0.248309,120,1229,1349,NA,801,985,NA,NA,NA,NA,NA,NA,1562,NA,893,NA,NA,NA
"4","1",0,1,"0","2","1","1",0.2,0.212122,0.590435,0.160296,108,1454,1562,1344.71428571429,1349,801,985,NA,NA,NA,NA,NA,1600,NA,1075,NA,NA,NA
"5","1",0,1,"0","3","1","1",0.226957,0.22927,0.436957,0.1869,82,1518,1600,1341,1562,1349,801,985,NA,NA,NA,NA,1606,NA,1455.5,NA,NA,NA
"6","1",0,1,"0","4","1","1",0.204348,0.233209,0.518261,0.0895652,88,1518,1606,1344,1600,1562,1349,801,985,NA,NA,NA,1510,NA,1581,NA,NA,NA
"7","1",0,1,"0","5","1","2",0.196522,0.208839,0.498696,0.168726,148,1362,1510,1340,1606,1600,1562,1349,801,985,NA,NA,959,NA,1603,NA,NA,NA
"8","1",0,1,"0","6","0","2",0.165,0.162254,0.535833,0.266804,68,891,959,1297.28571428571,1510,1606,1600,1562,1349,801,985,NA,822,1344.71428571429,1558,NA,NA,NA
"9","1",0,1,"0","0","0","1",0.138333,0.116175,0.434167,0.36195,54,768,822,1234.71428571429,959,1510,1606,1600,1562,1349,801,985,1321,1341,1234.5,NA,0.0263959390862944,1134.48627073293
"10","1",0,1,"0","1","1","1",0.150833,0.150888,0.482917,0.223267,41,1280,1321,1206.14285714286,822,959,1510,1606,1600,1562,1349,801,1263,1344,890.5,NA,-0.0262172284644195,1355.02180187579
"11","1",0,1,"0","2","1","2",0.169091,0.191464,0.686364,0.122132,43,1220,1263,1193.42857142857,1321,822,959,1510,1606,1600,1562,1349,1162,1340,1071.5,NA,0.0207561156412157,1324.62575987579
"12","1",0,1,"0","3","1","1",0.172727,0.160473,0.599545,0.304627,25,1137,1162,1234.71428571429,1263,1321,822,959,1510,1606,1600,1562,1406,1297.28571428571,1292,NA,0.191421254801536,1239.9374401615
"13","1",0,1,"0","4","1","1",0.165,0.150883,0.470417,0.301,38,1368,1406,1289.28571428571,1162,1263,1321,822,959,1510,1606,1600,1421,1234.71428571429,1212.5,NA,0.27375,1301.43359073293
"14","1",0,1,"0","5","1","1",0.16087,0.188413,0.537826,0.126548,54,1367,1421,1243.42857142857,1406,1162,1263,1321,822,959,1510,1606,1248,1206.14285714286,1284,NA,0.12453300124533,1306.42902587579
"15","1",0,1,"0","6","0","2",0.233333,0.248112,0.49875,0.157963,222,1026,1248,1160.57142857143,1421,1406,1162,1263,1321,822,959,1510,1204,1193.42857142857,1413.5,NA,0.0589403973509934,1231.21731987579
"16","1",0,1,"0","0","0","1",0.231667,0.234217,0.48375,0.188433,251,953,1204,1230.28571428571,1248,1421,1406,1162,1263,1321,822,959,1000,1234.71428571429,1334.5,NA,-0.301355578727842,1258.96501730436
